@lat	@lon	name	ele
35.0773944	135.7193101	城山	479.6
35.0675842	135.7320944	船山	317
35.0614119	135.7269361	釈迦谷山	290.9
35.0358019	135.7220322	衣笠山	201
34.9441265	135.9129865	大日山	129
34.9170923	135.9157697	妙見山	202
34.9245343	136.3752226		697
34.9344134	136.3661956		761.2
34.9375560	136.3596268		637
34.9307222	136.3580533		574
34.9263132	136.3681422		679
34.9432620	136.3741416		832
34.9522108	136.3853590		832
34.9649808	136.4020788		945.5
34.9172155	134.5450117	新田山	97
35.0830296	136.1739658	布施山	240.9
35.0681139	136.2306697	布引山	261.6
35.0240495	136.3225652	竜王山	825.8
35.0136909	136.3417560	綿向山	1110
34.9904165	136.2892931	猪の鼻ガ岳	508.1
35.1021575	136.3423969	日本コバ	934.2
35.1710009	136.3136345	八ツ尾山	616
35.1604843	136.2885086	秦川山	469.0
35.2110756	136.2918187	青龍山	333.3
35.2856421	136.2677997	弁天山	196
35.3013346	136.2594554	磯山	159.5
35.1749597	136.1910584	和田山	180.2
35.1491730	136.1592235	繖山	432.6
35.1318339	136.1373737	竜石山	150
35.1560240	136.1393175	安土山	198
35.1640763	136.0658507	長命寺山	333
35.1385052	136.0451126	岡山	187.6
35.0605960	136.0368290	妙光寺山	267
35.0764749	136.1457457	雪野山	308.8
35.1049253	136.1315183	瓶割山	234.4
35.1247035	136.1802822	箕作山	372
34.9770378	136.0087537	鶏冠山	490.8
34.9631449	136.0227697	竜王山	604.6
34.9167280	135.9842837	太神山	599.6
34.9097209	135.9653968	矢筈ヶ岳	562
34.8907445	135.9674398	猪背山	553.2
34.9182837	135.9392570	笹間ヶ岳	432.9
34.8681574	135.9897014	経塚	558
34.8884246	136.1254964	岩尾山	470.8
34.8414389	136.0850226	笹ヶ岳	738.5
34.7829439	135.2301543	逢ヶ山	722.1
34.7728456	135.1453166	愛宕山	294
34.7835565	135.1400759	稚児ヶ墓山	596.3
34.7872026	135.1184651	帝釈山	585.9
34.7324314	135.1671400	妙賀山	415
34.7090966	135.1877434	城山	323
34.7062211	135.1829751	堂徳山	337.5
34.7032834	135.1803880	市章山	
34.7018316	135.1797328	錨山	
34.7168529	135.1902456	世継山	417
34.7157409	135.1666315	鍋蓋山	486.1
34.6603721	135.1184882	高尾山	181
34.6472147	135.0994614	鉄拐山	234
34.6415020	135.0959094	鉢伏山	
34.7075591	135.1291628	高尾山	403.2
34.7452598	135.1260723	長坂山	397
34.7598476	135.1408414	西脇山	291
34.7604712	135.0871760	シブレ山	347.5
34.7482569	135.0329941	トーシン山	164
34.7803847	135.1059847	丹生山	515
34.7989700	135.1278962	投待山	485
34.7975419	135.0678902	愛宕山	162
34.8255686	135.0945649	論破山	250.7
34.8170427	135.1290250	愛宕山	256
34.8164819	135.1333820	滝ノ山	265.2
34.8450126	135.0663527	石上山	228.4
34.8656707	135.0552441	赤土山	194
34.9371665	136.1893942		242
34.9452838	136.1870340		232
34.9297332	136.1772540		221
33.9039996	135.8054324	大森山	1045.2
33.8849411	135.7380694	百前森山	783.1
33.8574258	135.8234359	富士根山	472.6
34.2493771	135.8860624	観音峯山	1348
35.1199478	136.1814384	赤神山	357.2
35.3239031	134.7009374	御祓山	773.1
35.2859818	134.6959339	須留ヶ峰	1053.5
35.3273616	134.8127622	大倉部山	691.9
35.2766072	134.8448692	朝来山	756.4
35.2536296	134.8705332	青倉山	810.5
35.3653076	134.8775391	室尾山	629.5
35.1402464	134.3793062	郷鴫山	783.7
35.1516342	134.3821149	総検行山	823.7
34.9669817	134.3044110	後山	404.6
34.9789065	134.3554977	高倉山	357
34.9032580	134.3417652	愛宕山	410.7
34.8806525	134.3485322	生駒山	260
35.2069932	134.5808080	一山	1064.6
35.2470909	134.5720332	三久安山	1123.1
35.4188428	134.5561717	靜川山	1039.3
35.5251622	134.5408757	城ヶ山	562.6
35.5888165	134.4501182	三成山	536.1
35.5454560	134.6368300	三川山	887.8
35.6257325	134.5485946	蓮台山	628
35.5056619	134.6086541	白管山	896.4
35.4395402	134.5170409	後山	689.1
35.1723413	134.9467323	竜ヶ岳	816.7
35.1768842	134.8316455	金香瀬山	709.7
35.1720553	134.8004451	古城山	609
35.1353473	134.8138159	白岩山	973
35.1144030	134.8607171	飯森山	900.6
35.4752827	134.9782510	東里ヶ岳	663.5
34.7874141	134.4226626	尼子山	259.2
35.1364398	134.6873843	夜鷹山	1055.9
35.1322826	134.6566685	曉晴山	1077.1
35.1583722	134.6909921	砥峰	972.1
35.1657828	134.7285479	平石山	1061.2
35.1833773	134.6976443	千町ヶ峰	1141.3
35.1915875	134.7274256	段ヶ峰	1103.4
35.1923379	134.7398896	フトウガ峰	1082
35.1772176	134.7620312	達磨ヶ峰	912.7
35.2124227	134.7103117	笠杉山	1032.1
35.1984889	134.6787259	大段山	966
35.2976318	134.8063036	大路山	603.1
35.2977501	134.8494288	金梨山	464.4
35.3750850	134.7530054	大徳山	555.7
35.3698295	134.7421548	左近山	142.6
35.5460498	134.5276083	大空山	575.6
35.1779833	135.2307700	鹿倉山	547.7
35.4438257	135.3150409	愛宕山	213
35.4350628	135.3228671	茶臼山	57
34.8703252	135.4410674	長尾山	299
34.8693247	135.4279431	舎羅林山	264.4
34.7980764	134.4936662	天下台山	321.3
34.8509078	134.4141456	宝台山	378.7
35.1188016	136.1705292	岩戸山	
35.6703353	134.7626857	賀嶋山	141.4
34.8446106	135.3552254	中山	478.0
34.9594457	134.4964130	488.8	
34.8926959	134.5098552		519.9
34.8966127	134.5262516	亀山	457.8
34.3537687	135.2905615	高倉山	158.6
34.9824571	134.4471478	大乗山	299.8
34.9643864	134.4190973	多賀登山	441.3
34.9720002	134.3817180	赤十字山	407.6
35.1056224	134.5395596	黒尾山	1024.6
35.1703591	134.5844329	東山	1015.9
35.2211929	134.5606363	阿舎利山	1087.4
35.2212017	134.4716299	竹呂山	1129.3
35.1758403	134.4847835	植松山	1191.1
35.2095525	134.4406558	空山	900.9
35.1505140	134.4549437	上谷山	617.8
35.1238548	134.3932904	高鉢山	613.7
35.2932883	135.7136921	大段谷山	795.1
35.3186701	135.7036456		811.0
35.3072247	135.7744142	天狗岳	928
35.3206638	135.7939175	三国岳	959.1
35.3092405	135.8101348	経ヶ岳	889
35.3021115	135.6786638		826.3
35.3383738	135.6988840		791.8
34.6613904	135.1073491	栂尾山	274
34.6655741	135.1083225	横尾山	312
35.0945312	134.5968562	宮山	514.4
34.8130573	134.7930961	高御位山	304.2
34.8256619	134.7620919		
34.8307890	134.8900437	紅山	182.8
34.2774751	134.8372611	兜布丸山	525.1
34.2838052	134.8968085	柏原山	568.9
34.2318985	134.7107880	大見山	149
34.2899610	134.8180305	油谷山	302.7
34.2900467	134.9398138	高熊山	
34.3107764	134.9011006	三坂山	302.7
34.3165245	134.9043457	掛牛山	
34.3377164	134.9032767	三熊山	125
34.3342185	134.8193142	感応寺山	278
34.3577491	134.8387727	先山	448
34.4046897	134.8549908	高倉山	266
34.4308873	134.8439370	城越山	245
34.4434015	134.8170688	山王山	182
34.4569651	134.8103094	熊野山	111
34.4735180	134.8995697	摩耶山	359.4
34.5476246	134.9534582	大戸山	224
34.5641588	134.9640994	城ノ瀬山	294.0
34.5657826	135.0046796	篝場山	243.8
34.5905939	134.9875872	汐鳴山	305.3
35.0496429	136.0563266	天山	303.2
35.0563437	136.0400212	東光寺岩梨山	
35.0608292	136.0400601	東光寺不動山	260
